started_at,2020-10-01 08:00:00+00:00
completed_at,2021-07-02 09:11:27.708111+00:00
""
Resource Utilization
Resource ID,Resource name,Utilization Ratio,Tasks Allocated,Worked Time (seconds),Available Time (seconds),Pool ID,Pool name
Base profile_0,Base profile_0,0.027140780384002538,1070,642628.9136690886,23677613.708111,Base profile pool,Base profile pool
Base profile_1,Base profile_1,0.02704208651546288,1070,640292.0783744475,23677613.708111,Base profile pool,Base profile pool
Base profile_2,Base profile_2,0.027167767247274988,1070,643267.8981928473,23677613.708111,Base profile pool,Base profile pool
Base profile_3,Base profile_3,0.02718172764548823,1069,643598.4471089519,23677613.708111,Base profile pool,Base profile pool
Base profile_4,Base profile_4,0.027228910383949208,1068,644715.6217639217,23677613.708111,Base profile pool,Base profile pool
Base profile_5,Base profile_5,0.02711397737398739,1069,641994.2823517353,23677613.708111,Base profile pool,Base profile pool
Base profile_6,Base profile_6,0.02704278480772537,1071,640308.6122688941,23677613.708111,Base profile pool,Base profile pool
Base profile_7,Base profile_7,0.027099567240810325,1069,641653.0847848863,23677613.708111,Base profile pool,Base profile pool
Base profile_8,Base profile_8,0.026940952365214973,1069,637897.4630321795,23677613.708111,Base profile pool,Base profile pool
Base profile_9,Base profile_9,0.02693321285615008,1069,637714.2099262505,23677613.708111,Base profile pool,Base profile pool
Base profile_10,Base profile_10,0.02686280277163009,1069,636047.0671438308,23677613.708111,Base profile pool,Base profile pool
Base profile_11,Base profile_11,0.02705846861114871,1071,640679.9673078259,23677613.708111,Base profile pool,Base profile pool
Base profile_12,Base profile_12,0.02703013557771402,1069,640009.1086869803,23677613.708111,Base profile pool,Base profile pool
Base profile_13,Base profile_13,0.02707964288873633,1070,641181.3236730938,23677613.708111,Base profile pool,Base profile pool
Base profile_14,Base profile_14,0.027071725848017182,1069,640993.8670412345,23677613.708111,Base profile pool,Base profile pool
Base profile_15,Base profile_15,0.027095265516723185,1069,641551.2302236721,23677613.708111,Base profile pool,Base profile pool
Base profile_16,Base profile_16,0.02702146474166942,1070,639803.8039805898,23677613.708111,Base profile pool,Base profile pool
Base profile_17,Base profile_17,0.02709946970357763,1069,641650.7753359685,23677613.708111,Base profile pool,Base profile pool
Base profile_18,Base profile_18,0.027068851810252474,1069,640925.8166852592,23677613.708111,Base profile pool,Base profile pool
Base profile_19,Base profile_19,0.02691991741744304,1069,637399.4056644654,23677613.708111,Base profile pool,Base profile pool
Base profile_20,Base profile_20,0.027063862965457645,1069,640807.6927453575,23677613.708111,Base profile pool,Base profile pool
Base profile_21,Base profile_21,0.027109312049461886,1068,641883.8185997974,23677613.708111,Base profile pool,Base profile pool
Base profile_22,Base profile_22,0.02709600631280128,1069,641568.7705070458,23677613.708111,Base profile pool,Base profile pool
Base profile_23,Base profile_23,0.027095246807454607,1069,641550.787232838,23677613.708111,Base profile pool,Base profile pool
Base profile_24,Base profile_24,0.02712667932426463,1069,642295.0342237394,23677613.708111,Base profile pool,Base profile pool
Base profile_25,Base profile_25,0.027083719606238805,1070,641277.8506153146,23677613.708111,Base profile pool,Base profile pool
Base profile_26,Base profile_26,0.027138880434325614,1068,642583.9273945736,23677613.708111,Base profile pool,Base profile pool
Base profile_27,Base profile_27,0.027071412485460085,1069,640986.447363657,23677613.708111,Base profile pool,Base profile pool
Base profile_28,Base profile_28,0.027051837413329602,1070,640522.956367443,23677613.708111,Base profile pool,Base profile pool
Base profile_29,Base profile_29,0.02708222862920714,1068,641242.5478371112,23677613.708111,Base profile pool,Base profile pool
Base profile_30,Base profile_30,0.027075744487791382,1068,641089.0188414401,23677613.708111,Base profile pool,Base profile pool
Base profile_31,Base profile_31,0.027121281300310655,1068,642167.2218977701,23677613.708111,Base profile pool,Base profile pool
Base profile_32,Base profile_32,0.027162585675564285,1068,643145.2109394803,23677613.708111,Base profile pool,Base profile pool
Base profile_33,Base profile_33,0.027016784141063805,1069,639692.9785275282,23677613.708111,Base profile pool,Base profile pool
Base profile_34,Base profile_34,0.027109080629807433,1068,641878.3391346148,23677613.708111,Base profile pool,Base profile pool
Base profile_35,Base profile_35,0.02702107862600895,1069,639794.6616831346,23677613.708111,Base profile pool,Base profile pool
Base profile_36,Base profile_36,0.02704953540165217,1068,640468.4502241932,23677613.708111,Base profile pool,Base profile pool
Base profile_37,Base profile_37,0.02710272454772767,1069,641727.8422784331,23677613.708111,Base profile pool,Base profile pool
Base profile_38,Base profile_38,0.027097993713864954,1069,641615.8274217146,23677613.708111,Base profile pool,Base profile pool
Base profile_39,Base profile_39,0.0270771672187121,1069,641122.7057145914,23677613.708111,Base profile pool,Base profile pool
Base profile_40,Base profile_40,0.026976176277106908,1069,638731.4812112453,23677613.708111,Base profile pool,Base profile pool
Base profile_41,Base profile_41,0.027052513648582664,1067,640538.9680045408,23677613.708111,Base profile pool,Base profile pool
Base profile_42,Base profile_42,0.027058088153105564,1069,640670.9589692481,23677613.708111,Base profile pool,Base profile pool
Base profile_43,Base profile_43,0.027160529108301485,1069,643096.5163342671,23677613.708111,Base profile pool,Base profile pool
Base profile_44,Base profile_44,0.026953033444696826,1069,638183.5141653278,23677613.708111,Base profile pool,Base profile pool
Base profile_45,Base profile_45,0.026897269252509175,1069,636863.1511639637,23677613.708111,Base profile pool,Base profile pool
Base profile_46,Base profile_46,0.027283110096309175,1068,645998.9416162717,23677613.708111,Base profile pool,Base profile pool
Base profile_47,Base profile_47,0.027129613077421438,1068,642364.4984977013,23677613.708111,Base profile pool,Base profile pool
Base profile_48,Base profile_48,0.027069134602476824,1068,640932.512530307,23677613.708111,Base profile pool,Base profile pool
Base profile_49,Base profile_49,0.02707704646063567,1068,641119.8464515056,23677613.708111,Base profile pool,Base profile pool
""
Individual Task Statistics
Name,Count,Min Duration,Max Duration,Avg Duration,Total Duration,Min Waiting Time,Max Waiting Time,Avg Waiting Time,Total Waiting Time,Min Processing Time,Max Processing Time,Avg Processing Time,Total Processing Time,Min Cycle Time,Max Cycle Time,Avg Cycle Time,Total Cycle Time,Min Idle Time,Max Idle Time,Avg Idle Time,Total Idle Time,Min Idle Cycle Time,Max Idle Cycle Time,Avg Idle Cycle Time,Total Idle Cycle Time,Min Idle Processing Time,Max Idle Processing Time,Avg Idle Processing Time,Total Idle Processing Time,Min Cost,Max Cost,Avg Cost,Total Cost
A,10000,1.7976931348623157e+308,0,0,0,0,0,0.0,0.0,354.6842738165834,836.3417747443104,598.7658911654692,5987658.911654691,354.6842738165834,836.3417747443104,598.7658911654692,5987658.911654691,0.0,4.999587872589473e-07,1.2408682887894428e-07,0.0012408682887894429,354.68427399918437,836.3417750000954,598.7658912895567,5987658.912895568,354.68427399918437,836.3417750000954,598.7658912895567,5987658.912895568,0.9852340939349539,2.323171596511974,1.663238586570747,16632.38586570747
B,10000,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,376.13271511532366,835.2673511728644,600.0777426453461,6000777.426453461,376.13271511532366,835.2673511728644,600.0777426453461,6000777.426453461,0.0,4.999883458367549e-07,1.259080704983262e-07,0.001259080704983262,376.13271511532366,835.2673511728644,600.0777427712549,6000777.4277125485,376.13271511532366,835.2673511728644,600.0777427712549,6000777.4277125485,1.0448130975425658,2.32018708659129,1.6668826184593002,16668.826184593003
D1,11723,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,344.2064711637795,861.942752208095,600.6200537129841,7041068.889677313,344.2064711637795,861.942752208095,600.6200537129841,7041068.889677313,0.0,4.998511258236249e-07,1.2575563196629732e-07,0.0014742332735409036,344.2064711637795,861.942752208095,600.6200538387379,7041068.891151525,344.2064711637795,861.942752208095,600.6200538387379,7041068.891151525,0.9561290865660541,2.394285422800264,1.6683890380916293,19558.52469354817
C1,4986,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,366.61154768256597,801.972289800645,599.6809499053868,2990009.216228259,366.61154768256597,801.972289800645,599.6809499053868,2990009.216228259,0.0,4.996607003704412e-07,1.2601070832878487e-07,0.0006282893917273213,366.6115480000153,801.9722900018096,599.6809500313968,2990009.216856545,366.6115480000153,801.9722900018096,599.6809500313968,2990009.216856545,1.01836541022935,2.2277008050017915,1.6657804164038472,8305.581156189583
E,10000,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,373.8585275424198,808.2266695350531,599.4738519813333,5994738.519813333,373.8585275424198,808.2266695350531,599.4738519813333,5994738.519813333,0.0,4.998890972274239e-07,1.2338262022240087e-07,0.0012338262022240087,373.8585279993713,808.2266700007021,599.4738521047158,5994738.521047158,373.8585279993713,808.2266700007021,599.4738521047158,5994738.521047158,1.038495909840055,2.2450740820418145,1.6652051443925997,16652.051443925997
C2,5014,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,345.17330737784505,817.354108357802,598.7505458498483,3002135.2368911398,345.17330737784505,817.354108357802,598.7505458498483,3002135.2368911398,0.0,4.999905058866716e-07,1.2845540752566152e-07,0.0006440754133336668,345.17330737784505,817.354108357802,598.7505459783026,3002135.2375352094,345.17330737784505,817.354108357802,598.7505459783026,3002135.2375352094,0.9588147427162362,2.270428078771672,1.6631959606940236,8339.264546919834
D2,1723,1.7976931348623157e+308,0,0,0,0.0,0,0.0,0.0,415.19307914189994,792.4495398233208,600.0274259966577,1033847.2549922412,415.19307914189994,792.4495398233208,600.0274259966577,1033847.2549922412,0.0,4.99305883749912e-07,1.231089404219118e-07,0.00021211670434695407,415.19307914189994,792.4495399999432,600.0274261197665,1033847.2552043576,415.19307914189994,792.4495399999432,600.0274261197665,1033847.2552043576,1.1533141087274998,2.2012487217314467,1.6667428499907146,2871.7979305340014
""
Overall Scenario Statistics
KPI,Min,Max,Average,Accumulated Value,Trace Ocurrences
cycle_time,1946.226833,6776.36716,2515.6847517122874,25156847.517122876,10000
processing_time,1948.589807,6776.36716,2536.8369308521887,25368369.308521885,10000
idle_cycle_time,1946.226833,6776.36716,2515.6847517122874,25156847.517122876,10000
idle_processing_time,1948.589807,6776.36716,2536.8369308521887,25368369.308521885,10000
waiting_time,0.0,0,0.0,0.0,10000
idle_time,0.0,0,0.0,0.0,10000
